Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02007,Ezra Vu,Network Administrator,IT,Manufacturing,Male,Asian,62,2004-04-22,66227,0.0,United States,Phoenix,2014-02-14
E02023,Lillian Lewis,Technical Architect,IT,Research & Development,Female,Black,43,2013-08-14,83323,0.0,United States,Phoenix,2019-03-31
E02038,Amelia Dominguez,Sr. Manager,Accounting,Corporate,Female,Latino,31,2015-09-23,158184,15.0,Brazil,Rio de Janeiro,2018-07-27
E02043,Gianna Jones,Manager,Accounting,Research & Development,Female,Caucasian,48,1998-09-26,119220,9.0,United States,Columbus,2016-11-02
E02060,Jacob Cheng,Director,Sales,Manufacturing,Male,Asian,47,1999-11-26,155890,17.0,United States,Columbus,2003-11-27
E02083,Penelope Chan,Analyst II,Accounting,Manufacturing,Female,Asian,59,2012-05-20,57704,0.0,China,Shanghai,2019-11-21
E02091,Lucy Edwards,Director,Human Resources,Specialty Products,Female,Black,33,2015-03-16,175875,21.0,United States,Columbus,2022-05-16
E02105,Ezekiel Brown,Manager,Finance,Corporate,Male,Caucasian,27,2022-03-14,120315,8.0,United States,Miami,2022-07-17
E02113,Roman Liang,Sr. Analyst,Sales,Manufacturing,Male,Asian,28,2021-03-04,85206,0.0,China,Chongqing,2022-07-08
E02163,Sarah Johnson,Director,Engineering,Research & Development,Female,Caucasian,31,2018-03-06,150653,24.0,United States,Austin,2019-09-01
E02167,Nolan Howard,Quality Engineer,Engineering,Research & Development,Male,Caucasian,26,2022-04-18,82963,0.0,United States,Austin,2022-06-23
E02173,Zoey Leung,Network Administrator,IT,Research & Development,Female,Asian,40,2007-09-27,77637,0.0,China,Chongqing,2017-02-04
E02175,Christopher Robinson,Vice President,Finance,Specialty Products,Male,Caucasian,35,2016-07-11,254287,31.0,United States,Austin,2022-10-17
E02183,Madeline Chung,Analyst,Finance,Research & Development,Female,Asian,63,2011-05-26,44444,0.0,United States,Miami,2015-07-12
E02184,Ariana Sharma,Vice President,Sales,Research & Development,Female,Asian,45,2014-01-24,257725,34.0,United States,Seattle,2022-06-29
E02186,Logan Reyes,Quality Engineer,Engineering,Corporate,Male,Latino,62,1995-04-10,78251,0.0,Brazil,Sao Paulo,2020-03-19
E02202,Charles Ramos,Sr. Analyst,Accounting,Corporate,Male,Latino,57,2010-04-04,74597,0.0,United States,Austin,2016-01-30
E02210,Liliana Collins,Sr. Manager,Human Resources,Specialty Products,Female,Black,39,2013-01-18,151666,13.0,United States,Chicago,2018-06-30
E02219,Iris Chung,Manager,IT,Research & Development,Female,Asian,52,2013-03-12,128301,6.0,China,Beijing,2021-09-17
E02220,Thomas Rodriguez,Analyst,Finance,Manufacturing,Male,Latino,36,2019-10-09,51669,0.0,Brazil,Rio de Janeiro,2022-09-29
E02230,Nolan Brooks,Business Partner,Human Resources,Manufacturing,Male,Caucasian,40,2014-11-08,49342,0.0,United States,Seattle,2019-08-27
E02236,Jack Perez,Cloud Infrastructure Architect,IT,Research & Development,Male,Latino,30,2017-01-09,80389,0.0,Brazil,Manaus,2017-09-10
E02244,Connor Howard,Systems Analyst,IT,Specialty Products,Male,Caucasian,42,2021-03-15,44265,0.0,United States,Austin,2022-06-27
E02253,Leilani Ng,Systems Analyst,IT,Corporate,Female,Asian,48,2011-09-19,50513,0.0,United States,Seattle,2019-10-30
E02262,Carson Mai,Vice President,Accounting,Corporate,Male,Asian,50,1996-04-15,245920,36.0,United States,Columbus,1996-05-16
E02270,Ava Carrillo,Sr. Manager,Accounting,Specialty Products,Female,Latino,63,1999-01-01,149582,14.0,United States,Seattle,2021-03-03
E02288,Christopher Vu,Computer Systems Manager,IT,Corporate,Male,Asian,47,2002-03-16,88839,5.0,United States,Phoenix,2014-10-28
E02292,Lily Molina,Manager,IT,Manufacturing,Female,Latino,40,2009-09-15,125900,7.0,United States,Seattle,2018-04-16
E02298,Ezekiel Kumar,Field Engineer,Engineering,Manufacturing,Male,Asian,33,2015-11-19,82906,0.0,China,Chengdu,2016-10-11
E02300,Natalie Stewart,Network Engineer,IT,Corporate,Female,Caucasian,50,2003-06-30,92344,0.0,United States,Phoenix,2022-01-26
E02311,Everly Coleman,Sr. Manager,Sales,Corporate,Female,Caucasian,54,2011-08-14,158403,14.0,United States,Seattle,2019-08-02
E02315,Kai Phillips,Test Engineer,Engineering,Research & Development,Male,Caucasian,48,2016-12-13,72315,0.0,United States,Austin,2017-05-20
E02316,Dylan Khan,Director,Human Resources,Manufacturing,Male,Asian,35,2015-07-11,153815,19.0,United States,Miami,2016-05-31
E02326,Gabriel Ahmed,HRIS Analyst,Human Resources,Corporate,Male,Asian,65,2021-10-09,73996,0.0,China,Chengdu,2022-09-04
E02349,Thomas Silva,Analyst,Finance,Specialty Products,Male,Latino,45,2015-08-13,52798,0.0,United States,Miami,2018-01-30
E02351,Liam Jimenez,Sr. Analyst,Marketing,Research & Development,Male,Latino,52,2002-08-11,95682,0.0,United States,Seattle,2012-05-17
E02361,Christian Castro,IT Coordinator,IT,Specialty Products,Male,Latino,40,2006-04-15,43645,0.0,United States,Austin,2008-05-09
E02366,Aria Molina,Development Engineer,Engineering,Research & Development,Female,Latino,52,2001-10-24,89811,0.0,Brazil,Rio de Janeiro,2022-08-20
E02385,Ivy Mehta,Business Partner,Human Resources,Manufacturing,Female,Asian,50,2020-05-26,45290,0.0,China,Chongqing,2021-08-04
E02398,Hailey Washington,Sr. Manager,Finance,Specialty Products,Female,Black,51,2013-07-03,135578,10.0,United States,Miami,2018-07-06
E02400,Jose Grant,Development Engineer,Engineering,Corporate,Male,Caucasian,52,2021-06-28,94857,0.0,United States,Miami,2023-02-12
E02414,Owen Evans,Enterprise Architect,IT,Manufacturing,Male,Caucasian,34,2021-05-28,68972,0.0,United States,Austin,2022-10-29
